,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
190,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
191,"frozenset({'offerType_Angebot', 'gearbox_manuell'})",frozenset({'notRepairedDamage_nein'}),0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
192,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",frozenset({'gearbox_manuell'}),0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
193,"frozenset({'notRepairedDamage_nein', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.5286,1.0,0.5286,1.0,1.0,0.0,inf
194,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
195,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
196,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
197,"frozenset({'offerType_Angebot', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
198,"frozenset({'nrOfPictures_0', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
199,frozenset({'offerType_Angebot'}),"frozenset({'nrOfPictures_0', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
200,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
201,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
202,"frozenset({'kilometer_150000', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.3514,1.0,0.3514,1.0,1.0,0.0,inf
203,"frozenset({'offerType_Angebot', 'kilometer_150000'})",frozenset({'notRepairedDamage_nein'}),0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
204,"frozenset({'notRepairedDamage_nein', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.4216,1.0,0.4216,1.0,1.0,0.0,inf
205,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
206,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
207,"frozenset({'offerType_Angebot', 'kilometer_150000'})",frozenset({'nrOfPictures_0'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
208,"frozenset({'nrOfPictures_0', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
209,frozenset({'offerType_Angebot'}),"frozenset({'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
210,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
211,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
212,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
213,"frozenset({'offerType_Angebot', 'fuelType_benzin'})",frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
214,"frozenset({'notRepairedDamage_nein', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
215,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
216,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
217,"frozenset({'offerType_Angebot', 'fuelType_benzin'})",frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
218,"frozenset({'nrOfPictures_0', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
219,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
220,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
221,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",frozenset({'nrOfPictures_0'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
222,"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})",frozenset({'offerType_Angebot'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
223,frozenset({'offerType_Angebot'}),"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
224,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
225,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
226,"frozenset({'abtest_control', 'nrOfPictures_0'})",frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
227,"frozenset({'abtest_control', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.3598,1.0,0.3598,1.0,1.0,0.0,inf
228,frozenset({'abtest_control'}),"frozenset({'nrOfPictures_0', 'gearbox_manuell'})",0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
229,"frozenset({'abtest_control', 'nrOfPictures_0'})",frozenset({'kilometer_150000'}),0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
230,"frozenset({'abtest_control', 'kilometer_150000'})",frozenset({'nrOfPictures_0'}),0.3098,1.0,0.3098,1.0,1.0,0.0,inf
